Func: 0 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 1.000000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 0.500000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 0.100000 | Method: spectral | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 1.000000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 0.500000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 1 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 3 | Step: 0.100000 | Method: dbscan | ProcType: f0t255 |  => 0/40, 0%
Func: 0 | Step: 1.000000 | Method: affinity | ProcType: f0t255 |  => 32/40, 80%
Func: 1 | Step: 1.000000 | Method: affinity | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 1.000000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 3 | Step: 1.000000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 0 | Step: 0.500000 | Method: affinity | ProcType: f0t255 |  => 32/40, 80%
Func: 1 | Step: 0.500000 | Method: affinity | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.500000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 3 | Step: 0.500000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 0 | Step: 0.100000 | Method: affinity | ProcType: f0t255 |  => 32/40, 80%
Func: 1 | Step: 0.100000 | Method: affinity | ProcType: f0t255 |  => 0/40, 0%
Func: 2 | Step: 0.100000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 3 | Step: 0.100000 | Method: affinity | ProcType: f0t255 |  => 12/40, 30%
Func: 0 | Step: 1.000000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 1 | Step: 1.000000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 2 | Step: 1.000000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 3 | Step: 1.000000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 0 | Step: 0.500000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 1 | Step: 0.500000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 2 | Step: 0.500000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 3 | Step: 0.500000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 0 | Step: 0.100000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
Func: 1 | Step: 0.100000 | Method: spectral | ProcType: f255t0 |  => 0/40, 0%
