Func: 0 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 20/40, 50%
Func: 1 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 2 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 3 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 28/40, 70%
Func: 0 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 2 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 3 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 28/40, 70%
Func: 0 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 21/40, 52.5%
Func: 1 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 2 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 26/40, 65%
Func: 3 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 28/40, 70%
Func: 0 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 24/40, 60%
Func: 1 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 29/40, 72.5%
Func: 2 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 24/40, 60%
Func: 3 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 25/40, 62.5%
Func: 0 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 25/40, 62.5%
Func: 1 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 29/40, 72.5%
Func: 2 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 24/40, 60%
Func: 3 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 25/40, 62.5%
Func: 0 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 25/40, 62.5%
Func: 1 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 29/40, 72.5%
Func: 2 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 24/40, 60%
Func: 3 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 25/40, 62.5%
Func: 0 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 2 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 1.000000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 0 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 2 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 0.500000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 0 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 22/40, 55%
Func: 1 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 24/40, 60%
Func: 2 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 3 | Step: 0.100000 | Method: kmedoids | ProcType: f0t255 |  => 23/40, 57.5%
Func: 0 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 25/40, 62.5%
Func: 1 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 25/40, 62.5%
Func: 2 | Step: 1.000000 | Method: hierarchical | ProcType: f255t0 |  => 27/40, 67.5%
