Func: 0 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 39/40, 97.5%
Func: 1 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 2 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 37/40, 92.5%
Func: 3 | Step: 1.000000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 0 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 39/40, 97.5%
Func: 1 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 2 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 37/40, 92.5%
Func: 3 | Step: 0.500000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 0 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 39/40, 97.5%
Func: 1 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 2 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 37/40, 92.5%
Func: 3 | Step: 0.100000 | Method: hierarchical | ProcType: f0t255 |  => 36/40, 90%
Func: 0 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 38/40, 95%
Func: 1 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 35/40, 87.5%
Func: 2 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 37/40, 92.5%
Func: 3 | Step: 1.000000 | Method: mds_kmeans | ProcType: f0t255 |  => 31/40, 77.5%
Func: 0 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 38/40, 95%
Func: 1 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 35/40, 87.5%
Func: 2 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 37/40, 92.5%
Func: 3 | Step: 0.500000 | Method: mds_kmeans | ProcType: f0t255 |  => 31/40, 77.5%
Func: 0 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 38/40, 95%
Func: 1 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 35/40, 87.5%
Func: 2 | Step: 0.100000 | Method: mds_kmeans | ProcType: f0t255 |  => 37/40, 92.5%
